ID_Macrografia;Obs_Macro;Status_Macro;Macro_Ativo;Macro_Data;cordao_nome;Obs_Cordao;Status_Apr_Cordao;cordao_ativo;data_cordao;Status_Cota;Valor_Medido;referencia_min;referenci_max;nome_cota;tipo_medida;transformacao;comparativo;cota_ativo;Nome_Peca;Norma_Peca;PecaAtiva;Data_Criacao_Peca;cliente;cliente_ativo;data_cliente
R_ID_001;;Aprovado;true;05/06/2019 00:00;Cordão 01;;Aprovado;true;;Aprovado;1.418;1;2;Gap;;;;;Suporte;;;;Cliente 02;;
R_ID_001;;Aprovado;true;05/06/2019 00:00;Cordão 01;;Aprovado;true;;Aprovado;3.35;2;4;Penetração;;;;;Suporte;;;;Cliente 02;;
R_ID_001;;Aprovado;true;05/06/2019 00:00;Cordão 01;;Aprovado;true;;Aprovado;2.465;1.5;3;Perna Horizontal;;;;;Suporte;;;;Cliente 02;;
R_ID_001;;Aprovado;true;05/06/2019 00:00;Cordão 01;;Aprovado;true;;Aprovado;2.717;1.5;3;Perna Vertical;;;;;Suporte;;;;Cliente 02;;
R_ID_001;;Aprovado;true;05/06/2019 00:00;Cordão 02;;Aprovado;true;;Aprovado;0.8;0;2;Gap;;;;;Suporte;;;;Cliente 02;;
R_ID_001;;Aprovado;true;05/06/2019 00:00;Cordão 02;;Aprovado;true;;Aprovado;2.6;1;3;Penetração;;;;;Suporte;;;;Cliente 02;;
R_ID_001;;Aprovado;true;05/06/2019 00:00;Cordão 02;;Aprovado;true;;Aprovado;3.128;2;4;Perna Horizontal;;;;;Suporte;;;;Cliente 02;;
R_ID_001;;Aprovado;true;05/06/2019 00:00;Cordão 02;;Aprovado;true;;Aprovado;2.763;2;4;Perna Vertical;;;;;Suporte;;;;Cliente 02;;
R_ID_001;;Aprovado;true;05/06/2019 00:00;Cordão 03;;Aprovado;true;;Aprovado;0.032;0;1;Gap;;;;;Suporte;;;;Cliente 02;;
R_ID_001;;Aprovado;true;05/06/2019 00:00;Cordão 03;;Aprovado;true;;Aprovado;2.458;1;4;Penetração;;;;;Suporte;;;;Cliente 02;;
R_ID_001;;Aprovado;true;05/06/2019 00:00;Cordão 03;;Aprovado;true;;Aprovado;2.445;1;5;Perna Horizontal;;;;;Suporte;;;;Cliente 02;;
R_ID_001;;Aprovado;true;05/06/2019 00:00;Cordão 03;;Aprovado;true;;Aprovado;1.868;1;5;Perna Vertical;;;;;Suporte;;;;Cliente 02;;
R_ID_001;;Aprovado;true;05/06/2019 00:00;Cordão 04;;Aprovado;true;;Aprovado;0.414;0;1.5;Gap;;;;;Suporte;;;;Cliente 02;;
R_ID_001;;Aprovado;true;05/06/2019 00:00;Cordão 04;;Aprovado;true;;Aprovado;1.583;1;3;Penetração;;;;;Suporte;;;;Cliente 02;;
R_ID_001;;Aprovado;true;05/06/2019 00:00;Cordão 04;;Aprovado;true;;Aprovado;2.126;1.5;3.5;Perna Horizontal;;;;;Suporte;;;;Cliente 02;;
R_ID_001;;Aprovado;true;05/06/2019 00:00;Cordão 04;;Aprovado;true;;Aprovado;2.378;1.5;3.5;Perna Vertical;;;;;Suporte;;;;Cliente 02;;
R_ID_002;;Aprovado;true;03/03/2019 00:00;Cordão 01;;Aprovado;true;;Aprovado;1.565;1;2;Gap;;;;;Suporte;;;;Cliente 02;;
R_ID_002;;Aprovado;true;03/03/2019 00:00;Cordão 01;;Aprovado;true;;Aprovado;3.391;2;4;Penetração;;;;;Suporte;;;;Cliente 02;;
R_ID_002;;Aprovado;true;03/03/2019 00:00;Cordão 01;;Aprovado;true;;Aprovado;2.245;1.5;3;Perna Horizontal;;;;;Suporte;;;;Cliente 02;;
R_ID_002;;Aprovado;true;03/03/2019 00:00;Cordão 01;;Aprovado;true;;Aprovado;2.591;1.5;3;Perna Vertical;;;;;Suporte;;;;Cliente 02;;
R_ID_002;;Aprovado;true;03/03/2019 00:00;Cordão 02;;Aprovado;true;;Aprovado;1.056;0;2;Gap;;;;;Suporte;;;;Cliente 02;;
R_ID_002;;Aprovado;true;03/03/2019 00:00;Cordão 02;;Aprovado;true;;Aprovado;1.68;1;3;Penetração;;;;;Suporte;;;;Cliente 02;;
R_ID_002;;Aprovado;true;03/03/2019 00:00;Cordão 02;;Aprovado;true;;Aprovado;3.995;2;4;Perna Horizontal;;;;;Suporte;;;;Cliente 02;;
R_ID_002;;Aprovado;true;03/03/2019 00:00;Cordão 02;;Aprovado;true;;Aprovado;2.216;2;4;Perna Vertical;;;;;Suporte;;;;Cliente 02;;
R_ID_002;;Aprovado;true;03/03/2019 00:00;Cordão 03;;Aprovado;true;;Aprovado;0.239;0;1;Gap;;;;;Suporte;;;;Cliente 02;;
