nome;tipo;material;relacao;pcs_carga;forno;camada;massa;volume_un;area_un;maior_espessura;maior_dimensao;massa_carga;area_carga;tempo_austen;temperatura;tempo_cem
PRIMARIO;1;17NiCr7G;11x43;36;F1;;1,40;186544,70;41893,07;17,25;355,60;50,4;1,50815052;1;940;280
PRIMARIO;1;17NiCr7G;11x47;36;F1;0,63;1,40;186544,70;41893,07;17,25;355,60;50,4;1,50815052;1;940;280
PRIMARIO;1;17NiCr7G;11x47;36;F1;;1,40;186544,70;41893,07;17,25;355,60;50,4;1,50815052;1;940;280
PRIMARIO;1;17NiCr7G;11x47;36;F1;;1,40;186544,70;41893,07;17,25;355,60;50,4;1,50815052;1;940;280
PRIMARIO;1;17NiCr7G;11x43;36;F1;0,59;1,40;186544,70;41893,07;17,25;355,60;50,4;1,50815052;1;940;280
PRIMARIO;1;17NiCr7G;21x51;36;F1;;1,40;186544,70;41893,07;17,25;355,60;50,4;1,50815052;1;940;280
PRIMARIO;1;17NiCr7G;21x51;36;F1;;1,40;186544,70;41893,07;17,25;355,60;50,4;1,50815052;1;940;280
PRIMARIO;1;19MnCr5G;11x47;36;F1;;1,40;186544,70;41893,07;17,25;355,60;50,4;1,50815052;1;940;280
PRIMARIO;1;19MnCr5G;11x43;36;F1;;1,40;186544,70;41893,07;17,25;355,60;50,4;1,50815052;1;940;280
PRIMARIO;1;19MnCr5G;11x47;36;F1;;1,40;186544,70;41893,07;17,25;355,60;50,4;1,50815052;1;940;280
PRIMARIO;1;19MnCr5G;19x44;36;F1;;1,40;186544,70;41893,07;17,25;355,60;50,4;1,50815052;1;940;280
PRIMARIO;1;19MnCr5G;11x47;36;F1;;1,40;186544,70;41893,07;17,25;355,60;50,4;1,50815052;1;940;280
PRIMARIO;1;19MnCr5G;11x47;36;F1;;1,40;186544,70;41893,07;17,25;355,60;50,4;1,50815052;1;940;280
SECUNDARIO;2;17NiCr7G;15x66;36;F1;0,56;1,79;242312,94;35264,44;26,70;260,00;64,44;1,26951984;1;940;280
SECUNDARIO;2;17NiCr7G;15x69;36;F1;0,60;1,79;242312,94;35264,44;26,70;260,00;64,44;1,26951984;1;940;280
SECUNDARIO;2;17NiCr7G;15x59;36;F1;;1,79;242312,94;35264,44;26,70;260,00;64,44;1,26951984;1;940;280
SECUNDARIO;2;17NiCr7G;15x56;36;F1;0,64;1,79;242312,94;35264,44;26,70;260,00;64,44;1,26951984;1;940;280
SECUNDARIO;2;17NiCr7G;15x63;36;F1;;1,79;242312,94;35264,44;26,70;260,00;64,44;1,26951984;1;940;280
SECUNDARIO;2;17NiCr7G;15x61;36;F1;0,59;1,79;242312,94;35264,44;26,70;260,00;64,44;1,26951984;1;940;280
SECUNDARIO;2;17NiCr7G;17x57;36;F1;;1,79;242312,94;35264,44;26,70;260,00;64,44;1,26951984;1;940;280
SECUNDARIO;2;17NiCr7G;16x57;36;F1;;1,79;242312,94;35264,44;26,70;260,00;64,44;1,26951984;1;940;280
SECUNDARIO;2;19MnCr5G;15x58;36;F1;;1,79;242312,94;35264,44;26,70;260,00;64,44;1,26951984;1;940;280
SECUNDARIO;2;19MnCr5G;15x61;36;F1;0,55;1,79;242312,94;35264,44;26,70;260,00;64,44;1,26951984;1;940;280
SECUNDARIO;2;19MnCr5G;15x63;36;F1;0,58;1,79;242312,94;35264,44;26,70;260,00;64,44;1,26951984;1;940;280
SECUNDARIO;2;19MnCr5G;14x52;36;F1;;1,79;242312,94;35264,44;26,70;260,00;64,44;1,26951984;1;940;280
SECUNDARIO;2;19MnCr5G;15x59;36;F1;;1,79;242312,94;35264,44;26,70;260,00;64,44;1,26951984;1;940;280
SECUNDARIO;2;19MnCr5G;15x56;36;F1;;1,79;242312,94;35264,44;26,70;260,00;64,44;1,26951984;1;940;280
