nome;tipo;material;relacao;pcs_carga;forno;camada;massa;volume_un;area_un;maior_espessura;maior_dimensao;massa_carga;area_carga;tempo_austen;temperatura;tempo_cem
PRIMARIO;1;17NiCr7G;11x43;36;F1;;1.56;186544.56;41893.05;17.25;355.60;56.16;1.508149728;1;940;320.00
PRIMARIO;1;17NiCr7G;11x47;36;F1;0.63;1.56;186544.56;41893.05;17.25;355.60;56.16;1.508149728;1;940;320.00
PRIMARIO;1;17NiCr7G;11x47;36;F1;;1.56;186544.56;41893.05;17.25;355.60;56.16;1.508149728;1;940;320.00
PRIMARIO;1;17NiCr7G;11x47;36;F1;;1.56;186544.56;41893.05;17.25;355.60;56.16;1.508149728;1;940;320.00
PRIMARIO;1;17NiCr7G;11x43;36;F1;0.59;1.56;186544.56;41893.05;17.25;355.60;56.16;1.508149728;1;940;320.00
PRIMARIO;1;17NiCr7G;21x51;36;F1;;1.56;186544.56;41893.05;17.25;355.60;56.16;1.508149728;1;940;320.00
PRIMARIO;1;17NiCr7G;21x51;36;F1;;1.56;186544.56;41893.05;17.25;355.60;56.16;1.508149728;1;940;320.00
PRIMARIO;1;19MnCr5G;11x47;36;F1;;1.56;186544.56;41893.05;17.25;355.60;56.16;1.508149728;1;940;320.00
PRIMARIO;1;19MnCr5G;11x43;36;F1;;1.56;186544.56;41893.05;17.25;355.60;56.16;1.508149728;1;940;320.00
PRIMARIO;1;19MnCr5G;11x47;36;F1;;1.56;186544.56;41893.05;17.25;355.60;56.16;1.508149728;1;940;320.00
PRIMARIO;1;19MnCr5G;19x44;36;F1;;1.56;186544.56;41893.05;17.25;355.60;56.16;1.508149728;1;940;320.00
PRIMARIO;1;19MnCr5G;11x47;36;F1;;1.56;186544.56;41893.05;17.25;355.60;56.16;1.508149728;1;940;320.00
PRIMARIO;1;19MnCr5G;11x47;36;F1;;1.56;186544.56;41893.05;17.25;355.60;56.16;1.508149728;1;940;320.00
SECUNDARIO;2;17NiCr7G;15x66;36;F1;0.56;2.15;242402.16;35297.29;26.70;260.00;77.4;1.270702562;1;940;320.00
SECUNDARIO;2;17NiCr7G;15x69;36;F1;0.60;2.15;242402.16;35297.29;26.70;260.00;77.4;1.270702562;1;940;320.00
SECUNDARIO;2;17NiCr7G;15x59;36;F1;;2.15;242402.16;35297.29;26.70;260.00;77.4;1.270702562;1;940;320.00
SECUNDARIO;2;17NiCr7G;15x56;36;F1;0.64;2.15;242402.16;35297.29;26.70;260.00;77.4;1.270702562;1;940;320.00
SECUNDARIO;2;17NiCr7G;15x63;36;F1;;2.15;242402.16;35297.29;26.70;260.00;77.4;1.270702562;1;940;320.00
SECUNDARIO;2;17NiCr7G;15x61;36;F1;0.59;2.15;242402.16;35297.29;26.70;260.00;77.4;1.270702562;1;940;320.00
SECUNDARIO;2;17NiCr7G;17x57;36;F1;;2.15;242402.16;35297.29;26.70;260.00;77.4;1.270702562;1;940;320.00
SECUNDARIO;2;17NiCr7G;16x57;36;F1;;2.15;242402.16;35297.29;26.70;260.00;77.4;1.270702562;1;940;320.00
SECUNDARIO;2;19MnCr5G;15x58;36;F1;;2.15;242402.16;35297.29;26.70;260.00;77.4;1.270702562;1;940;320.00
SECUNDARIO;2;19MnCr5G;15x61;36;F1;0.55;2.15;242402.16;35297.29;26.70;260.00;77.4;1.270702562;1;940;320.00
SECUNDARIO;2;19MnCr5G;15x63;36;F1;0.58;2.15;242402.16;35297.29;26.70;260.00;77.4;1.270702562;1;940;320.00
SECUNDARIO;2;19MnCr5G;14x52;36;F1;;2.15;242402.16;35297.29;26.70;260.00;77.4;1.270702562;1;940;320.00
SECUNDARIO;2;19MnCr5G;15x59;36;F1;;2.15;242402.16;35297.29;26.70;260.00;77.4;1.270702562;1;940;320.00
SECUNDARIO;2;19MnCr5G;15x56;36;F1;;2.15;242402.16;35297.29;26.70;260.00;77.4;1.270702562;1;940;320.00
SECUNDARIO;2;17NiCr7G;15x69;36;F1;0.58;2.15;242402.16;35297.29;26.70;260.00;77.4;1.270702562;1;940;320.00
COROA;3;17NiCr7G;66x15;32;F1;0.68;1.58;203396.72;67264.91;4.50;186.12;50.56;2.15247696;1;940;320.00
COROA;3;19MnCr5G;61x14;32;F1;;1.58;203396.72;67264.91;4.50;186.12;50.56;2.15247696;1;940;320.00
COROA;3;17NiCr7G;63x15;32;F1;0.59;1.58;203396.72;67264.91;4.50;186.12;50.56;2.15247696;1;940;320.00
COROA;3;17NiCr7G;66x15;32;F1;;1.58;203396.72;67264.91;4.50;186.12;50.56;2.15247696;1;940;320.00
COROA;3;17NiCr7G;61x15;32;F1;;1.58;203396.72;67264.91;4.50;186.12;50.56;2.15247696;1;940;320.00
COROA;3;17NiCr7G;59x15;32;F1;;1.58;203396.72;67264.91;4.50;186.12;50.56;2.15247696;1;940;320.00
COROA;3;17NiCr7G;69x15;32;F1;;1.58;203396.72;67264.91;4.50;186.12;50.56;2.15247696;1;940;320.00
COROA;3;17NiCr7G;57x16;32;F1;;1.58;203396.72;67264.91;4.50;186.12;50.56;2.15247696;1;940;320.00
COROA;3;17NiCr7G;56x15;32;F1;;1.58;203396.72;67264.91;4.50;186.12;50.56;2.15247696;1;940;320.00
COROA;3;19MnCr5G;58x15;32;F1;;1.58;203396.72;67264.91;4.50;186.12;50.56;2.15247696;1;940;320.00
COROA;3;19MnCr5G;61x15;32;F1;;1.58;203396.72;67264.91;4.50;186.12;50.56;2.15247696;1;940;320.00
