tipo_peca;peca;relacao;camada;forno;matl;volume;area;dim;maior_esp;massa_carga;t_cem;t_rev
1;PRIMARIO;xx;0.61;F1;MXX;186544.7;41893.07;355.6;17.25;52.38175176;280;200
2;SECUNDARIO;xx;0.58;F1;MXX;242312.94;35264.44;260;26.7;68.04147355;280;200
3;COROA;xx;0.65;F1;MXX;203396.73;67264.91;186.12;4.5;50.76782381;280;200
4;ENG 1 VEL;xx;0.67;F1;MXX;143792.52;35138.65;115.8;8;73.45539396;280;200
5;ENG 2 VEL;xx;0.63;F1;MXX;107514.46;29787.16;102.8;7.3;57.60441648;280;200
6;ENG 3 VEL DESL.;xx;-;F1;MXX;58903.15;22194.47;89.2;5.4;49.35816054;280;200
7;ENG 4 VEL DESL.;xx;-;F1;MXX;42009.32;16669.13;76.9;8.5;36.04399656;280;200
8;ENG 5 VEL DESL.;xx;0.60;F1;MXX;57617.39;15162.39;74.9;7.1;83.51097955;280;200
9;ENG 3 VEL FIXA;xx;-;F1;MXX;28937.42;12768.39;63.41;3.7;27.05800032;280;200
10;ENG 4 VEL FIXA;xx;-;F1;MXX;43264.54;16419.44;75.3;5.6;45.49237992;280;200
11;ENG 5 VEL FIXA;xx;0.51;F1;MXX;56274.29;18792.85;78;5.2;57.94000898;280;200
12;LUVA 1/2 VEL;xx;-;F1;MXX;61552.39;28455.42;107.3;3.2;61.45390618;280;200
13;LUVA 3/4 VEL;xx;-;F1;MXX;25861.91;17157.39;84;2.4;40.3445796;280;200
14;LUVA 5 VEL;xx;-;F1;MXX;25948.11;15808.59;76;3;51.00360502;280;200
17;MARCHA RE;xx;-;F1;MXX;38190.2;15931.78;67.09;5.7;50.66230962;280;200
16;SATELITE;xx;0.69;F1;MXX;10890.02;4795.19;45.5;4;27.18148992;280;200
15;PLANETARIA;xx;0.64;F1;MXX;84750.91;29074.4;83;6.9;49.57928235;280;200
1;PRIMARIO;xx;0.62;F3;MXX;186544.7;41893.07;355.6;17.25;52.38175176;540;270
2;SECUNDARIO;xx;0.61;F3;MXX;242312.94;35264.44;260;26.7;68.04147355;540;270
3;COROA;xx;0.64;F3;MXX;203396.73;67264.91;186.12;4.5;50.76782381;540;270
4;ENG 1 VEL;xx;0.66;F3;MXX;143792.52;35138.65;115.8;8;73.45539396;540;270
5;ENG 2 VEL;xx;0.64;F3;MXX;107514.46;29787.16;102.8;7.3;57.60441648;540;270
6;ENG 3 VEL DESL.;xx;0.67;F3;MXX;58903.15;22194.47;89.2;5.4;49.35816054;540;270
7;ENG 4 VEL DESL.;xx;-;F3;MXX;42009.32;16669.13;76.9;8.5;36.04399656;540;270
8;ENG 5 VEL DESL.;xx;0.63;F3;MXX;57617.39;15162.39;74.9;7.1;83.51097955;540;270
9;ENG 3 VEL FIXA;xx;-;F3;MXX;28937.42;12768.39;63.41;3.7;27.05800032;540;270
10;ENG 4 VEL FIXA;xx;0.58;F3;MXX;43264.54;16419.44;75.3;5.6;45.49237992;540;270
11;ENG 5 VEL FIXA;xx;-;F3;MXX;56274.29;18792.85;78;5.2;57.94000898;540;270
12;LUVA 1/2 VEL;xx;0.63;F3;MXX;61552.39;28455.42;107.3;3.2;61.45390618;540;270
13;LUVA 3/4 VEL;xx;-;F3;MXX;25861.91;17157.39;84;2.4;40.3445796;540;270
14;LUVA 5 VEL;xx;-;F3;MXX;25948.11;15808.59;76;3;51.00360502;540;270
17;MARCHA RE;xx;-;F3;MXX;38190.2;15931.78;67.09;5.7;50.66230962;540;270
16;SATELITE;xx;0.68;F3;MXX;10890.02;4795.19;45.5;4;27.18148992;540;270
15;PLANETARIA;xx;0.64;F3;MXX;84750.91;29074.4;83;6.9;49.57928235;540;270
1;PRIMARIO;xx;0.57;F5;MXX;186544.7;41893.07;355.6;17.25;52.38175176;360;96
2;SECUNDARIO;xx;0.64;F5;MXX;242312.94;35264.44;260;26.7;68.04147355;360;96
3;COROA;xx;0.62;F5;MXX;203396.73;67264.91;186.12;4.5;50.76782381;360;96
4;ENG 1 VEL;xx;-;F5;MXX;143792.52;35138.65;115.8;8;73.45539396;360;96
5;ENG 2 VEL;xx;0.60;F5;MXX;107514.46;29787.16;102.8;7.3;57.60441648;360;96
6;ENG 3 VEL DESL.;xx;0.62;F5;MXX;58903.15;22194.47;89.2;5.4;49.35816054;360;96
7;ENG 4 VEL DESL.;xx;0.58;F5;MXX;42009.32;16669.13;76.9;8.5;36.04399656;360;96
8;ENG 5 VEL DESL.;xx;0.58;F5;MXX;57617.39;15162.39;74.9;7.1;83.51097955;360;96
9;ENG 3 VEL FIXA;xx;0.60;F5;MXX;28937.42;12768.39;63.41;3.7;27.05800032;360;96
10;ENG 4 VEL FIXA;xx;0.62;F5;MXX;43264.54;16419.44;75.3;5.6;45.49237992;360;96
11;ENG 5 VEL FIXA;xx;0.57;F5;MXX;56274.29;18792.85;78;5.2;57.94000898;360;96
12;LUVA 1/2 VEL;xx;-;F5;MXX;61552.39;28455.42;107.3;3.2;61.45390618;360;96
13;LUVA 3/4 VEL;xx;-;F5;MXX;25861.91;17157.39;84;2.4;40.3445796;360;96
14;LUVA 5 VEL;xx;-;F5;MXX;25948.11;15808.59;76;3;51.00360502;360;96
17;MARCHA RE;xx;0.61;F5;MXX;38190.2;15931.78;67.09;5.7;50.66230962;360;96
16;SATELITE;xx;-;F5;MXX;10890.02;4795.19;45.5;4;27.18148992;360;96
15;PLANETARIA;xx;-;F5;MXX;84750.91;29074.4;83;6.9;49.57928235;360;96
